id;from1;comment1;date1;testcountry
179;Emilia Deringowska ;"NIKI: Thanks for the amazing tour on friday evening!! It was pretty cold but very great... :))
";14.11.2011;Germany
180;John Andrews;"Thanks to all the guides i met on my months holiday, you made my time there special!
";17.11.2011;UK
181;Marta de Castro ;Great visit yesterday evening!! :) Thank you Nikolai for the information and, most of all, the interest and excitement you show in your explanations and stories!;26.11.2011;Spain
182;Stuart Smith ;Just spent an excellent couple of hours on the tour. Great to see a side of Sofia I knew so little about. Mersi mnogo Mitko!!!;30.11.2011;UK
183;Akkharawit Kanjana-Opas ;Thanks for the wonderful tour you provided to us yesterday regardless of the rainy weather. I really enjoyed it very much. Keep up the good work you do here.;07.12.2011;Thailand
184;Susann Moennig ;Thanks Niki for the great tour today. We really enjoyed it a lot!!!! I will recommend your organization to everyone who is planning to go to Sofia! Fantastic!!!;11.12.2011;Germany
185;Milli Vanilli ;Free Sofia tour is a great way to get so much knowledge about the city in such a short time. I`m actually living in Sofia for 1 year already and I have already seen all the things included in this tour few times before, but still I was pleasantly surprised, cause I learnt so many new things about different places and buildings and churches that I haven`t know them before.;12.12.2011;Croatia
186;Milli Vanilli ;My tour guide KIRIL was great, kind and really knowledgeable and he took his time to explain all the small bits & details and answered all our questions. It was damn cold at the time of our tour, but still it was really great 2 hours!;12.12.2011;Croatia
187;Armando Camacho Perez II ;I had a wonderful time walking though the streets of beautiful Sofia. Deni was great, she shared with us all her knowledge about the city. What a great difference it makes when the person that is giving you the tour talks with passion and love about her hometown.;20.12.2011;Mexico
188;Amy Symonds;"Excellent. I enjoyed it very much. Went on your tour today.
";24.12.2011;United States
189;DarrylRees ;This was a brilliant tour and proved me wrong as the sceptic in me thought that being free it was either a con or rubbish. How wrong I was! Our host, Vanya, was extremely knowledgable, enthusiastic, had very good English (and spoke other languages) and also interpersed her knowledge with good dry humour.;08.11.2011;UK
190;ndbtdr ;Highly recommend if you want to see the sites and learn about the country. I walked around during the day and hadn't any idea of the history and story behind the sites. Seeing them with the Free Sofia Tour was far better. The guides were knowledgable and so very courteous. Fun too! I took the evening tour and really enjoyed it. Seeing the buildings lighted added a mystic and drama that can't be seen during the day.;09.11.2011;United States
191;Dashkina ;I went on a tour this morning and really enjoyed it. Our guide, Dimitar, was very-very good - giving a personal touch to it by telling different stories about the places. I would definitely recommend this tour to anyone who is in Sofia, especially to those who are here on business and have just a couple of hours to wander around the city.;10.11.2011;Russia
192;XriLou ;Really great idea. History, stories, humour, a chance to meet new people, high-spirited tour. Well done. Totally recommended!;15.11.2011;Greece
193;t_merz ;"This activity was great. Two houres full of information. Funny, lot to explore and very interesting spoken tour! We loved it! We went on the tour just yesterday. There were people of approx. 10 countries in our group, mixed of all kind of ages. A huge Thank You to the Tour guide with is local and knew answers of all kind of questions;-) ";21.11.2011;Switzerland
194;rudtuc;An interesting insight info the history and current events in Sofia while walking around the city to discover places sometimes hidden to the eye of tourist. Best way to start your Sofia trip - the tour is fairly short to be able to spent enought time at some of the places tour covered. But once you did this tour you know what you want to explore in more detail. ;22.11.2011;
195;AnaN;2 hours of very diverse and multicultural tour. surprising how many diferent eras you can see in just two hours! Guides are locals and experts within their own city! They transfer their passion for it on you, and you start feeling like at home, after the tour! ;28.11.2011;Serbia
196;Martin R;I highly recommend the tour - afterwards you will leave Sofia with the impression in mind of a beautiful city with very nice people living here. Being in Sofia on a 4-day business trip, I have only seen the part of Sofia between my Hotel and the Office for a few days. Then I did the tour at 6pm together with some of my colleagues and we all were very excited about the tour. Our two guides Antoaneta (volunteer in training) and Vanya were very knowledgeable and made the 2 1/2 tour a great experience for everyone. ;29.11.2011;Canada
197;Iraklis25;Very remarkable initiative for a city to be promoted. As for Sofia, we were lucky to have Kristian as a guide! He was so polite, with knowledge, pleasant. We didn't realise how quick the time passed despite the heavy cold!!! Congratulations Kristian, congrats Sofia! ;2011-11-31;Greece
198;NoFreeUserNames ;I can totally recommend it even to people born in Sofia, as the guides really know some unique facts about this wonderful city and its history! Living in Sofia for several years I know a lot about the city, but decided to take the tour anyway because a lot of people recommended it to me. ;18.12.2011;
199;Goodandhard ;Our guide was great, answering any questions you have, at the end of the tour he recomended a Bulgairian restaurant for us to visit, even calling them to make sure they were open. Do it you will not regret it. ;27.12.2011;UK
200;TLHTooter ;The city had just been blanketed with a 10 inch snowfall and the temperature hovered just below freezing during the entire 3 hour tour but it was so fascinating, we didn't mind the conditions one bit. Our guide, Krasi, was totally passionate about his country and the city of Sofia. The tour gave us a really great insight about the history of Bulgaria, without going into so much detail that it became boring. It gave us a good idea of which sights we wanted to return to. I can't believe that this tour is offered without charge (although tips for the tour guide are certainly appropriate). This tour is a MUST for first-time visitors. We highly recommend it. ;28.12.2011;
201;DIMITRIS P ;Congratulations Boyko, Congratulations Sofia! We had a great time, learned a lot about Sofia. He was pleasant, polite (with everyone, even to a beggar), nice sense of humor. He accepts pets ( i had a little dog with me)... Everyone should try it. Ask for Boyko !!! Professional job. Keep on the good work. ;30.12.2011;Greece
202;D-squaredU ;By far the best most interesting afternoon of our stay in Sofia. The leader was a very well spoken, interesting english speaking student, who made our visit the Sofia. ;30.12.2011;Canada
203;eutraveller 1 1 -1  ;Keep up with the brave effort! Definitely a must for everyone.;10.11.2011;
204;Sue and Roge;"
Deni was an excellent guide; knowledgeable, enthusiastic and with an obvious passion for the city. We found her entertaining and informative, helping us to retain most of the info she gave us. The device of using a quiz with small prizes was also a valuable educational tool.
Loved it. And it was free! (We did make a donation, though.)";28.06.2012;UK
205;Squeegie;"A delightful and informative stroll - I can't recommend it highly enough!
The guides were all incredibly enthusiastic, almost seeming like they were discovering Sofia for the first time even though they might have walked the same streets hundreds or maybe even thousands of times. You get the feeling that they genuinely love Sofia (after all, they do these tours twice a day EVERY day year-round, no matter what the weather, and free of charge... I mean, wow, right?), and their pride in the city will probably rub off on you. Admittedly, the tour does not stray all that far off the ""beaten path"" in the city, but it gives the whole thing a lot more context. So if you have a couple of hours to spare in Sofia, take the tour - I'll bet you'll be glad you did! ";16.10.2012;Cambridge, MA
206;mlopez0301;The best tour I could've expected;15.10.2012;Bulgaria
207;saviolimpic;"вЂњA MustвЂќ
Guide was very knowledgable, and we found this to be an excellent way to see the most important landmarks of the city and learn about its history. It's also a fun way to meet other travelers. The guide was very enthusiastic and gave a great recommendation for lunch. Tipping is not required, but we highly recommend it as they are students. Be prepared to walk! ";01.05.2012;USA
208;xerxes100;Valiantly trying to engage a group of strangers in various illustrative improv scenes depicting the many influences during Bulgaria's turbulent history, worked surprisingly well - kudos to Deni...;01.09.2012;Serbia
209;Natalie G;If you only have one day in Sofia you must do this!;07.10.2012;Montenegro
210;Woody_Pewitt;No matter the weather!;16.09.2012;USA
211;jacob g;"вЂњTruely FreeвЂќ
A great free tour and I have been on several. They, surprisingly, didn't even mention tipping the guide which is a very acceptable pert of free tour culture.";27.08.2012;USA
212;blink7589;вЂњGreat intro to Sofia, and great nonprofit running the tourвЂќ;26.08.2012;USA
